time_medstack,O18_medstack,C13_medstack
449,1.25,0.7
450,1.47,0.64
451,1.77,0.67
452,2.07,0.71
453,1.97,0.83
454,1.84,0.95
455,1.58,0.87
456,1.34,0.82
457,1.2,0.85
458,1.13,0.88
459,1.31,0.91
460,1.44,0.93
461,1.56,0.97
462,1.68,1.01
463,1.78,1.05
464,1.85,1.09
465,1.84,1.12
466,1.84,1.15
467,1.84,1.17
468,1.82,1.19
469,1.66,1.18
470,1.5,1.16
471,1.33,1.14
472,1.19,1.15
473,1.1,1.25
474,0.91,1.34
475,0.49,1.44
476,0.3,1.49
477,0.56,1.5
478,0.72,1.52
479,0.76,1.53
480,0.78,1.54
481,0.74,1.52
482,0.6,1.5
483,0.38,1.49
484,0.39,1.44
485,0.62,1.41
486,0.71,1.36
487,0.84,1.12
488,0.86,1.02
489,0.51,1.22
490,0.34,1.36
491,0.59,1.27
492,0.41,1.13
493,-0.33,1.22
494,-0.6,1.23
495,-0.48,1.06
496,-0.37,1.03
497,-0.72,1.25
498,-0.98,1.4
499,-0.67,1.08
500,-0.42,0.89
501,-0.47,1.25
502,-0.32,1.36
503,-0.07,1.32
504,0.2,1.19
505,0.22,1.43
506,0.33,1.49
507,0.56,1.33
508,0.78,1.16
509,0.75,1.19
510,0.63,1.36
511,0.83,1.32
512,0.93,1.28
513,0.79,1.3
514,0.75,1.63
515,1.08,1.63
516,0.87,1.6
517,0.84,1.49
518,0.69,1.62
519,0.61,1.61
520,0.62,1.44
521,0.68,1.28
522,0.73,1.23
523,0.64,1.32
524,0.5,1.2
525,0.37,1.08
526,0.4,1.01
527,0.11,1.35
528,0.11,1.38
529,0.11,1.41
530,0.12,1.44
531,0.17,1.45
532,0.18,1.44
533,-0.02,1.43
534,-0.22,1.42
535,-0.14,1.36
536,0.04,1.28
537,0.15,1.18
538,0.19,1.09
539,0.35,1.01
540,0.71,1
541,1.02,1.01
542,1.04,1.02
543,1.05,1.03
544,1.06,1.04
545,1.01,1
546,0.87,0.96
547,0.67,0.92
548,0.44,0.88
549,0.07,0.84
550,-0.23,0.78
551,-0.52,0.73
552,-0.63,0.67
553,-0.1,0.7
554,0.28,0.83
555,0.82,0.94
556,1.13,0.93
557,1.12,0.87
558,1.06,0.83
559,0.98,0.88
560,0.92,0.93
561,0.96,0.98
562,0.93,1.02
563,0.67,1.06
564,0.43,1.02
565,0.28,0.98
566,0.26,0.97
567,0.36,0.97
568,0.42,0.97
569,0.47,0.94
570,0.54,1.01
571,0.59,1.12
572,0.57,1.27
573,0.52,1.41
574,0.04,1.47
575,-0.35,1.52
576,-0.36,1.54
577,-0.59,1.43
578,-1.02,1.27
579,-0.74,1.23
580,-0.04,1.24
