pollen_depth,pollen_age_kabp,quercus_decid,ap_minus_pinus
84.59,191.99575,,
84.75,192.23485,,
84.91,192.4736,16.5414,39.0977
85.07,192.7117,,
85.23,192.9428,,
85.39,193.18855,,
85.55,193.4274,8.85714,33.7143
85.72,193.6751,,
85.87,193.9038,,
86.03,194.15385,,
86.19,194.4242,6.07287,95.9514
86.35,194.6879,,
86.51,194.9647,,
86.67,195.2341,,
86.83,195.50855,12.4669,35.809
86.99,195.77885,,
87.15,196.0469,,
87.31,196.3344,,
87.47,196.65175,16.9591,33.9181
87.63,196.96905,,
87.79,197.28775,,
87.95,197.6049,,
88.11,197.91425,28.5714,51.7857
88.27,198.2315,,
88.43,198.55195,,
88.59,198.8571,,
88.75,199.13565,22.6744,34.8837
88.91,199.4142,,
89.07,199.69495,,
89.23,199.97505,,
89.39,200.24835,48.6239,70.6422
89.55,200.53475,,
89.71,200.80775,,
89.87,201.08675,,
90.03,201.3574,53.3089,70.2206
90.19,201.6211,,
90.35,201.8892,,
90.51,202.15925,,
90.67,202.4313,41.0139,68.6636
90.83,202.70185,,
90.99,202.97095,,
91.15,203.2414,,
91.31,203.52945,41.2301,58.7699
91.47,203.82685,,
91.63,204.1151,,
91.79,204.4038,,
91.95,204.69755,0.339559,32.7674
92.11,204.992,,
92.27,205.29295,,
92.43,205.5799,,
92.59,206.1052,0.833333,89.2116
92.75,206.6666,,
92.91,207.2228,,
93.07,207.7762,,
93.23,208.3335,9.41935,86.3226
93.39,208.88755,,
93.55,209.4367,,
93.71,209.98665,,
93.87,210.4645,22.4756,84.3648
94.03,210.91215,,
94.19,211.36655,,
94.35,211.80895,,
94.51,212.25745,19.2394,74.4966
94.67,212.707,,
94.83,213.15215,,
94.99,213.60565,,
95.15,214.11995,23.4375,76.6355
95.31,214.69655,,
95.47,215.262,,
95.63,215.83,,
95.79,216.40255,39.4881,75.5027
95.96,217.0072,,
96.11,217.5321,,
96.27,218.0837,,
96.43,218.6878,26.6941,44.3763
96.59,219.3229,,
96.75,219.96755,,
96.91,220.60025,,
97.07,221.25125,11.5993,34.2707
97.23,221.9039,,
97.39,222.56495,,
97.55,223.22525,,
97.71,223.793,14.8148,45.8333
97.87,224.2072,,
98.03,224.6245,,
98.19,225.0413,,
98.35,225.4518,9.25926,36.1111
98.51,225.8651,,
98.67,226.2721,,
98.83,226.67465,,
98.99,227.05845,34.1991,60.6061
99.15,227.38715,,
99.31,228.0273,,
99.47,228.04815,,
99.63,228.3832,10.3093,20.1031
99.79,228.71405,,
99.95,229.04555,,
100.11,229.3789,,
100.27,229.711,28.3334,69.5833
100.43,230.04945,,
100.59,230.39835,,
100.75,230.7385,,
100.91,231.08715,20.7964,38.4956
101.07,231.43975,,
101.23,231.78505,,
101.39,232.11785,,
101.55,232.4559,6.04396,15.9341
101.71,232.80485,,
101.87,233.15105,,
102.03,233.50355,,
102.19,233.8522,30.0971,64.0777
102.35,234.19755,,
102.51,234.5446,,
102.67,234.8896,,
102.83,235.2372,15.4639,73.1959
102.99,235.56605,,
103.15,235.8805,,
103.31,236.20655,,
103.47,236.51855,32.1544,76.8489
103.63,236.8427,,
103.79,237.1628,,
103.95,237.48195,,
104.11,237.7998,29.0124,64.8148
104.27,238.15725,,
104.43,238.5312,,
104.59,238.89825,,
104.75,239.26705,45.6522,85.0242
104.9,239.6046,,
105.07,239.9861,,
105.23,240.35005,,
105.39,240.7127,64.1115,84.4367
105.55,241.02585,,
105.71,241.32175,,
105.87,241.61035,,
106.03,241.91665,21.0084,26.8908
106.19,242.2081,,
106.35,242.5091,,
106.51,242.80545,,
106.67,243.1036,4.95049,21.4521
106.83,243.408,,
106.99,243.72885,,
107.15,244.04245,,
107.31,244.37275,3.74707,21.7799
107.47,244.70255,,
107.63,245.0279,,
107.79,245.3591,,
107.95,245.693,4.13534,16.1654
108.11,246.01505,,
108.27,246.31985,,
108.43,246.6271,,
108.59,246.9352,9.73154,34.5638
108.75,247.24815,,
108.91,247.55365,,
109.07,247.86345,,
109.23,248.18005,0,0
109.39,248.5157,,
109.55,248.9041,,
109.71,249.2954,,
109.87,249.68525,8.33334,35.0694
110.03,250.0693,,
110.19,250.43815,,
110.35,250.82265,,
110.51,251.1956,4.51128,27.8195
110.67,251.58405,,
110.83,251.9927,,
110.99,252.41125,,
111.15,252.8258,5.65371,32.5088
111.31,253.24045,,
111.47,253.6584,,
111.63,254.07265,,
111.79,254.4933,3.19634,21.4612
111.95,254.9009,,
112.11,255.36515,,
112.27,255.83075,,
112.43,256.29085,4.91803,25
112.59,256.7648,,
112.75,257.2241,,
112.91,257.68135,,
113.07,258.1437,3.80228,26.616
113.23,258.59705,,
113.39,259.09145,,
113.55,259.585,,
113.71,260.07335,2.35849,18.8679
113.87,260.56465,,
114.03,261.06125,,
114.19,261.5409,,
114.35,262.0322,4.32099,16.6667
114.52,262.5441,,
114.67,262.942,,
114.83,263.3548,,
114.99,263.7639,0,0
115.15,264.1779,,
115.31,264.5836,,
115.47,264.99575,,
115.63,265.41485,2.82685,15.5477
115.79,265.83265,,
115.95,266.22145,,
116.11,266.6249,,
116.27,267.02265,5.51725,24.1379
116.43,267.4253,,
116.59,267.8192,,
116.75,268.2159,,
116.91,268.6173,0,0
117.07,269.01135,,
117.23,269.42335,,
117.39,269.8385,,
117.57,270.3201,4.3307,18.5039
117.71,270.6835,,
117.87,271.10325,,
118.03,271.5242,,
118.19,271.95225,1,21
118.35,272.37625,,
118.51,272.78525,,
118.67,273.1653,,
118.83,273.55205,4.33071,20.8661
118.99,273.9399,,
119.15,274.3203,,
119.31,274.6959,,
119.46,275.12945,2.88066,14.8148
119.63,275.45795,,
119.79,275.828,,
119.95,276.17295,,
120.11,276.5199,1.78571,27.6786
120.27,276.86995,,
120.43,277.2131,,
120.59,277.556,,
120.75,277.89115,1.40845,12.6761
120.91,278.2357,,
121.07,278.57965,,
121.23,278.93515,,
121.39,279.29375,1.07527,17.2043
121.55,279.65125,,
121.71,280.0096,,
121.87,280.3717,,
122.03,280.7247,0.738007,9.9631
122.19,281.08065,,
122.35,281.43105,,
122.51,281.76635,,
122.67,282.10625,3.62903,31.4516
122.83,282.43835,,
122.99,282.77925,,
123.15,283.1134,,
123.31,283.4576,1.70068,17.6871
123.47,283.80325,,
123.63,284.1448,,
123.79,284.5643,,
123.95,284.9992,4.71976,41.0029
124.11,285.43095,,
124.27,285.8525,,
124.43,286.28235,,
124.59,286.71635,5.92335,37.9791
124.75,287.14585,,
124.91,287.5801,,
125.07,288.0089,,
125.23,288.4365,33.8871,77.4086
125.39,288.8618,,
125.55,289.28545,,
125.71,289.71075,,
125.87,290.13465,58.1081,83.2432
126.03,290.5524,,
126.19,290.96615,,
126.35,291.3565,,
126.51,291.7247,47.4801,77.1883
126.67,292.10125,,
126.83,292.4742,,
126.99,292.8552,,
127.15,293.2335,33.4559,45.5882
127.31,293.612,,
127.47,293.9926,,
127.63,294.3704,,
127.79,294.7364,17.1014,33.0435
127.95,295.10575,,
128.11,295.48955,,
128.27,295.8722,,
128.43,296.25155,17.9487,31.0897
128.59,296.63245,,
128.75,297.00465,,
128.91,297.3512,,
129.06,297.6403,31.1111,54.8148
129.23,297.9625,,
129.39,298.26905,,
129.55,298.5718,,
129.71,298.88055,52.0548,83.5616
129.87,299.17115,,
130.03,299.46765,,
130.19,299.75655,,
130.35,300.04145,14.375,43.125
130.51,300.3285,,
130.67,300.6178,,
130.83,300.90685,,
130.99,301.1976,0,0
131.15,301.49,,
131.31,301.77605,,
131.47,302.06125,,
131.63,302.36375,11.8919,32.4324
131.79,302.661,,
131.95,302.966,,
132.11,303.2657,,
132.28,303.58165,29.8611,71.5278
132.43,303.8612,,
132.59,304.15405,,
132.75,304.455,,
132.91,304.78535,34.4828,62.069
133.07,305.1204,,
133.23,305.44965,,
133.39,305.78205,,
133.55,306.112,16.312,68.7943
133.71,306.4449,,
133.87,306.7705,,
134.03,307.1086,,
134.19,307.43015,12.8571,66.4286
134.35,307.76175,,
134.51,308.0942,,
134.66,308.4025,,
134.83,308.75555,27.4854,73.0994
134.99,309.08065,,
135.15,309.4116,,
135.31,309.74265,,
135.47,310.04175,5.9761,24.7012
135.63,310.331,,
135.79,310.62165,,
135.95,310.9071,,
136.12,311.21735,35.8974,68.5897
136.27,311.4806,,
136.43,311.77455,,
136.59,312.0641,,
136.75,312.35545,38.0711,71.5736
136.91,312.6569,,
137.07,312.95835,,
137.23,313.25785,,
137.39,313.56065,46.332,81.8533
137.55,313.8567,,
137.71,314.16345,,
137.87,314.46365,,
138.03,314.76275,57.9861,83.6806
138.19,315.0649,,
138.35,315.3717,,
138.51,315.68395,,
138.67,315.9959,54.1199,79.4007
138.83,316.3031,,
138.99,316.6112,,
139.15,316.91885,,
139.31,317.2494,39.5105,63.986
139.46,317.59765,,
139.63,317.9889,,
139.79,318.3591,,
139.95,318.73285,23.7864,45.1456
140.11,319.1068,,
140.27,319.48555,,
140.43,319.85585,,
140.59,320.2302,12.9032,39.5161
140.75,320.62165,,
140.91,321.0116,,
141.07,321.4072,,
141.23,321.79765,18.75,66.5441
141.39,322.18325,,
141.55,322.57545,,
141.71,322.9683,,
141.87,323.3653,31.5151,73.9394
142.03,323.82775,,
142.19,324.28965,,
142.35,324.75385,,
142.51,325.2132,33.1429,73.7143
142.67,325.66485,,
142.83,326.1176,,
142.99,326.56855,,
143.15,327.01535,54.7469,91.4557
143.31,327.5073,,
143.47,327.9855,,
143.63,328.4736,,
143.79,328.9673,36.9319,90.3409
143.95,329.454,,
144.11,329.93925,,
144.27,330.42695,,
144.43,330.91875,35.6757,64.8649
144.59,331.39635,,
144.75,331.88715,,
144.91,332.3643,,
145.07,332.8423,25.9741,50
145.23,333.33115,,
145.39,333.8121,,
145.55,334.2876,,
145.71,334.77375,14.2857,23.0769
145.87,335.2702,,
146.03,335.77745,,
146.19,336.2892,,
146.35,336.7928,16.3522,32.7044
146.51,337.30115,,
146.67,337.80575,,
146.83,338.31065,,
146.99,338.8096,18,32
147.15,339.3434,,
147.31,339.89595,,
147.48,340.48215,,
147.63,340.9967,9.44882,37.4016
147.79,341.5446,,
147.95,342.09015,,
148.11,342.6358,,
148.27,343.1826,6.80851,33.1915
148.43,343.7141,,
148.59,344.24125,,
148.75,344.75995,,
148.91,345.28855,1.53061,19.898
149.07,345.8169,,
149.23,346.34905,,
149.39,346.8788,,
149.55,347.39635,8.96552,33.1034
149.71,347.90875,,
149.87,348.40225,,
150.03,348.89815,,
150.19,349.3897,12.1213,44.9495
150.35,349.89375,,
150.51,350.39075,,
150.67,350.89305,,
150.83,351.3808,16.3462,48.5577
150.99,351.88565,,
151.15,352.4045,,
151.31,352.92395,,
151.47,353.43845,6.43776,34.3348
151.63,353.9593,,
151.79,354.48335,,
151.95,355.00015,,
152.11,355.5178,12,27.1111
152.26,356.0111,,
152.43,356.5779,,
152.59,357.123,,
152.75,357.66595,33.0144,61.244
152.91,358.21055,,
153.07,358.75385,,
153.23,359.30555,,
153.39,359.8555,10.6383,38.2979
153.55,360.4023,,
153.71,360.9415,,
153.87,361.47335,,
154.03,362.00405,6.89655,30.6034
154.19,362.5343,,
154.35,363.0618,,
154.51,363.59195,,
154.67,364.12535,6.95652,40.8696
154.83,364.65505,,
154.99,365.06565,,
155.15,365.45995,,
155.31,365.85845,5.77777,34.2222
155.47,366.25825,,
155.63,366.6583,,
155.79,367.05725,,
155.95,367.45815,1.22699,13.1902
156.11,367.84965,,
156.27,368.35325,,
156.43,368.8783,,
156.59,369.3984,2.94117,24.1176
156.75,369.9211,,
156.91,370.44375,,
157.07,370.9706,,
157.23,371.4994,4.24837,34.3137
157.38,371.9883,,
157.55,372.6361,,
157.71,373.3061,,
157.87,373.96795,15.7377,46.5574
158.03,374.62725,,
158.19,375.2954,,
158.35,375.9667,,
158.51,376.64275,3.1348,11.2853
158.67,377.30675,,
158.83,378.0665,,
158.99,378.9262,,
159.15,379.78525,8.1571,31.1178
159.31,380.6409,,
159.47,381.50295,,
159.63,382.3495,,
159.79,383.21115,3.28947,15.1316
159.95,384.0588,,
160.11,384.86595,,
160.27,385.6031,,
160.43,386.3481,20.5211,49.5114
160.59,387.09385,,
160.75,387.841,,
160.91,388.59775,,
161.07,389.3464,10.1156,17.6301
161.23,390.1082,,
161.39,390.81085,,
161.55,391.35585,,
161.71,391.9041,6.73077,16.3462
161.86,392.41695,,
162.03,392.99755,,
162.19,393.5424,,
162.35,394.0871,2.64901,11.9205
162.51,394.62695,,
162.67,395.1329,,
162.83,395.4648,,
162.99,395.78325,17.9153,38.4365
163.15,396.1117,,
163.31,396.43445,,
163.47,396.75735,,
163.63,397.0735,18.2411,38.1107
163.79,397.39355,,
163.95,397.70585,,
164.11,398.08495,,
164.27,398.4591,30.6306,68.4685
164.43,398.8339,,
164.59,399.21495,,
164.75,399.58975,,
