geochem_depth,geochem_age_kabp,TIC,TOC,Qz_peakarea,C13,O18,TN,TS
138.51,315.68395,3.43,1.81,,1.1,-5.66,0.26,0.172
138.67,315.9959,4.29,1.89,0.184919,0.89,-5.78,0.24,0.153
138.83,316.3031,3.54,1.53,,1.17,-5.39,0.27,0.099
138.99,316.6112,5.33,2.43,0.174675,0.61,-6.13,0.24,0.102
139.15,316.91885,2.63,1.48,,0.97,-5.24,0.28,0.098
139.31,317.2494,3.98,1.71,0.218333,1.12,-5.11,0.28,0.105
139.46,317.59765,5.71,2.77,,0.5,-6,0.26,0.114
139.63,317.9889,4.98,2.76,0.185706,0.86,-5.69,0.29,0.143
139.79,318.3591,1.75,1.59,,0.88,-5.57,0.31,0.168
139.95,318.73285,1.68,1.51,0.273496,1.19,-4.69,0.32,0.165
140.11,319.1068,1.06,1.5,,,,0.32,0.178
140.27,319.48555,1.63,1.32,0.286621,1.29,-4.42,0.31,0.126
140.43,319.85585,1.48,1.86,,2.07,-3.13,0.34,0.1
140.59,320.2302,0.17,1.9,0.281369,,,0.38,0.127
140.75,320.62165,1.53,1.6,,2.25,-3.2,0.34,0.115
140.91,321.0116,1.62,1.87,0.246799,0.01,-6.17,0.35,0.117
141.07,321.4072,2.85,2.06,,0.38,-5.93,0.34,0.177
141.23,321.79765,2.65,2.18,0.249335,-0.09,-6.4,0.35,0.15
141.39,322.18325,2.5,2.34,,0.5,-4.9,0.34,0.16
141.55,322.57545,2.55,2.39,0.21329,-0.18,-5.2,0.36,0.201
141.71,322.9683,3.05,2.4,,-0.05,-5.54,0.35,0.197
141.87,323.3653,3.73,2.35,0.191895,-0.03,-5.54,0.31,0.138
142.03,323.82775,4.15,2.23,,0.04,-5.24,0.32,0.216
142.19,324.28965,4.15,1.89,0.197424,-0.25,-5.49,0.32,0.184
142.35,324.75385,4.59,2.04,,0,-4.81,0.29,0.213
142.51,325.2132,5.12,1.85,0.175541,-0.4,-5.36,0.28,0.146
142.67,325.66485,5.99,1.99,,-0.02,-4.89,0.24,0.145
142.83,326.1176,6.38,2.23,0.126128,0.12,-4.39,0.24,0.161
142.99,326.56855,6.71,2.04,,0.3,-4.48,0.23,0.185
143.15,327.01535,5.65,2.47,0.133234,0.5,-4.43,0.27,0.138
143.31,327.5073,6.38,2.05,,-0.14,-5.32,0.21,0.112
143.47,327.9855,6.15,2.01,0.122189,-0.3,-5.63,0.23,0.114
143.63,328.4736,6.41,1.94,,-0.44,-6.06,0.22,0.121
143.79,328.9673,6.47,1.61,0.130838,-0.65,-6.13,0.2,0.105
143.95,329.454,6.19,1.69,,-0.42,-6.24,0.23,0.149
144.11,329.93925,5.89,1.83,0.136811,0.04,-5.83,0.23,0.143
144.27,330.42695,4.68,2.39,,0.45,-5.54,0.3,0.172
144.43,330.91875,6.67,2.03,0.148284,0.4,-4.87,0.22,0.209
144.59,331.39635,6.58,2.01,,0.41,-5.27,0.25,0.24
144.75,331.88715,5.75,2.3,0.172694,0.63,-5.78,0.26,0.373
144.91,332.3643,4.2,2.69,,0.64,-6.47,0.34,0.411
145.07,332.8423,3.89,2.05,0.224081,0.57,-6.89,0.32,0.326
145.23,333.33115,1.11,1.64,,,,0.3,0.376
145.39,333.8121,1.44,1.48,0.273428,0.77,-6.71,0.31,0.35
145.55,334.2876,1.72,1.43,,0.87,-6.35,0.31,0.321
145.71,334.77375,1.5,1.49,0.254603,,,0.3,0.305
145.87,335.2702,1.28,1.32,,1.02,-6.86,0.28,0.254
146.03,335.77745,0.91,1.19,0.278672,,,0.28,0.204
146.19,336.2892,0.82,1.13,,,,0.28,0.221
146.35,336.7928,0.18,1.05,0.327403,,,0.3,0.237
146.51,337.30115,1.36,1.07,,,,0.27,0.243
146.67,337.80575,0.81,0.85,0.330408,,,0.26,0.191
146.83,338.31065,0.21,0.94,,,,0.28,0.161
146.99,338.8096,0.33,0.9,0.333959,,,0.27,0.233
147.15,339.3434,1.14,0.89,,,,0.25,0.148
147.31,339.89595,0.37,0.81,0.345777,,,0.27,0.155
147.48,340.48215,0.19,0.93,,,,0.27,0.192
147.63,340.9967,0.3,0.81,0.334018,,,0.27,0.119
147.79,341.5446,1.04,0.79,,,,0.25,0.095
147.95,342.09015,0.34,0.81,0.347876,,,0.26,0.147
148.11,342.6358,0.2,0.74,,,,0.27,0.128
148.27,343.1826,0.18,0.62,0.370095,,,0.25,0.088
148.43,343.7141,0.07,0.66,,,,0.26,0.205
148.59,344.24125,0.26,0.76,0.327537,,,0.26,0.143
148.75,344.75995,0.16,0.63,,,,0.26,0.111
148.91,345.28855,0.54,0.74,0.331717,,,0.26,0.117
149.07,345.8169,0.17,0.62,,,,0.25,0.101
149.23,346.34905,0.39,0.63,0.367671,,,0.25,0.108
149.39,346.8788,0.28,0.6,,,,0.24,0.083
149.55,347.39635,0.17,0.67,0.348995,,,0.26,0.101
149.71,347.90875,0.33,0.68,,,,0.25,0.08
149.87,348.40225,0.31,0.65,0.300723,,,0.25,0.088
150.03,348.89815,0.1,0.66,,,,0.25,0.083
150.19,349.3897,0.09,0.77,0.305466,,,0.29,0.159
150.35,349.89375,0.13,0.69,,,,0.27,0.115
150.51,350.39075,0.27,0.76,0.345588,,,0.27,0.11
150.67,350.89305,0.24,0.73,,,,0.26,0.119
150.83,351.3808,0.22,0.88,0.2917,,,0.27,0.123
150.99,351.88565,0.05,0.8,,,,0.26,0.087
151.15,352.4045,0.12,0.8,0.287224,,,0.26,0.097
151.31,352.92395,0.18,0.68,,,,0.26,0.109
151.47,353.43845,0.25,0.71,0.296199,,,0.28,0.13
151.63,353.9593,0.1,0.75,,,,0.27,0.204
151.79,354.48335,0.08,0.74,0.283479,,,0.27,0.115
151.95,355.00015,0.45,0.75,,,,0.23,0.135
152.11,355.5178,0.12,0.84,0.302302,,,0.3,0.145
152.26,356.0111,0.04,1.09,,,,0.28,0.15
152.43,356.5779,0.04,1.21,0.288645,,,0.3,0.076
152.59,357.123,0.8,0.78,,,,0.27,0.099
152.75,357.66595,0.17,0.56,0.22245,,,0.33,0.102
152.91,358.21055,1.08,0.71,,,,0.24,0.136
153.07,358.75385,0.72,0.68,0.334603,,,0.24,0.143
153.23,359.30555,0.15,0.59,,,,0.25,0.141
153.39,359.8555,0.24,0.66,0.322881,,,0.24,0.116
153.55,360.4023,0.1,0.54,,,,0.26,0.104
153.71,360.9415,0.18,0.6,0.338172,,,0.24,0.127
153.87,361.47335,0.19,0.59,,,,0.23,0.106
154.03,362.00405,0.19,0.6,0.348362,,,0.24,0.097
154.19,362.5343,0.59,0.74,,,,0.24,0.106
154.35,363.0618,0.22,0.59,0.348815,,,0.25,0.112
154.51,363.59195,0.7,0.75,,,,0.24,0.148
154.67,364.12535,0.13,0.63,0.32611,,,0.25,0.123
154.83,364.65505,0.1,0.57,,,,0.26,0.113
154.99,365.06565,0.29,0.66,0.335914,,,0.25,0.128
155.15,365.45995,0.11,0.59,,,,0.25,0.129
155.31,365.85845,0.4,0.76,0.367237,,,0.24,0.139
155.47,366.25825,1.79,0.73,,,,0.22,0.105
155.63,366.6583,0.1,0.81,0.302331,,,0.27,0.118
155.79,367.05725,0.15,0.82,,,,0.26,0.154
155.95,367.45815,0.11,0.76,0.327651,,,0.27,0.141
156.11,367.84965,0.07,1.13,,,,0.29,0.108
156.27,368.35325,0.3,0.94,0.293586,,,0.28,0.187
156.43,368.8783,0.1,0.82,,,,0.34,0.135
156.59,369.3984,0.04,1.07,0.307665,,,0.29,0.111
156.75,369.9211,0.92,0.82,,,,0.27,0.123
156.91,370.44375,0.12,0.99,0.325283,,,0.3,0.117
157.07,370.9706,0.03,1,,,,0.29,0.109
157.23,371.4994,0.09,1.4,0.293853,,,0.31,0.099
157.38,371.9883,0.39,1.21,,,,0.29,0.183
157.55,372.6361,0.05,1.24,0.306399,,,0.31,0.107
157.71,373.3061,0.38,1.66,,,,0.3,0.089
157.87,373.96795,0.37,1.71,0.263434,,,0.31,0.101
158.03,374.62725,0.09,1.06,,,,0.31,0.141
158.19,375.2954,1.85,1.04,0.269544,,,0.26,0.116
158.35,375.9667,0.21,1.09,,,,0.3,0.142
158.51,376.64275,0.07,1.3,0.309933,,,0.32,0.122
158.67,377.30675,0.14,1.9,,,,0.33,0.094
158.83,378.0665,0.88,1.9,0.220786,,,0.29,0.081
158.99,378.9262,0.22,1.33,,,,0.3,0.133
159.15,379.78525,0.25,1.54,0.256723,,,0.31,0.077
159.31,380.6409,0.36,1.71,,,,0.32,0.091
159.47,381.50295,1.89,2.2,0.214297,0.37,-7.03,0.28,0.095
159.63,382.3495,3.62,1.5,,1.45,-5.74,0.23,0.071
159.79,383.21115,0.09,1.42,0.269845,,,0.36,0.167
159.95,384.0588,1.05,1.75,,,,0.3,0.083
160.11,384.86595,1.28,1.82,0.272374,0.16,-6.96,0.28,0.106
160.27,385.6031,2.33,1.86,,-0.12,-7.64,0.27,0.089
160.43,386.3481,1.89,1.66,0.231931,,,0.29,0.094
160.59,387.09385,3.39,1.96,,-0.26,-7.2,0.23,0.101
160.75,387.841,3.07,1.61,0.223452,0.3,-6.52,0.24,0.092
160.91,388.59775,4.32,1.84,,0.24,-6.47,0.21,0.079
161.07,389.3464,2.23,1.55,0.25582,-0.04,-6.53,0.28,0.107
161.23,390.1082,3.52,1.92,,-0.15,-7.1,0.27,0.127
161.39,390.81085,2.97,2.36,0.215673,-0.34,-7.39,0.27,0.154
161.55,391.35585,2.94,1.83,,0.22,-6.38,0.27,0.144
161.71,391.9041,0.82,1.21,0.287097,,,0.29,0.168
161.86,392.41695,0.26,1.01,,,,0.31,0.157
162.03,392.99755,0.46,1.17,0.316281,,,0.31,0.107
162.19,393.5424,1.37,1.15,,0.78,-5.01,0.28,0.079
162.35,394.0871,0.24,1.37,0.327759,,,0.36,0.165
162.51,394.62695,0.77,1.58,,,,0.31,0.095
162.67,395.1329,0.97,1.71,0.278194,,,0.33,0.113
162.83,395.4648,1.73,1.85,,,,0.29,0.103
162.99,395.78325,2.62,1.75,0.254569,-0.14,-7.4,0.27,0.145
163.15,396.1117,4.29,1.92,,-0.15,-6.58,0.23,0.112
163.31,396.43445,4.28,1.9,0.216128,-0.34,-6.92,0.23,0.094
163.47,396.75735,4.54,1.7,,0.47,-5.6,0.23,0.094
163.63,397.0735,3.08,1.53,0.215876,0.93,-5.12,0.28,0.128
163.79,397.39355,5.07,1.5,,0.29,-5.73,0.25,0.076
163.95,397.70585,0.2,2.02,0.144356,,,0.57,0.098
164.11,398.08495,4.93,1.83,,0.06,-5.78,0.25,0.07
164.27,398.4591,6.23,1.99,0.133268,0.28,-5.44,0.23,0.074
164.43,398.8339,6.43,2,,0.17,-5.68,0.2,0.076
164.59,399.21495,5.64,2.26,0.190462,0.09,-6.46,0.23,0.113
164.75,399.58975,5.4,2.12,,0.14,-6.4,0.25,0.131
164.91,399.9663,4.99,1.63,0.208808,0.65,-6.14,0.21,0.096
165.07,400.3559,0.93,1.38,,,,0.29,0.117
165.23,400.73185,0.73,1.35,0.306405,,,0.33,0.134
165.39,401.1312,0.73,1.33,,,,0.29,0.116
165.55,401.5419,2.36,1.68,0.254607,0.47,-4.98,0.29,0.093
165.71,401.95085,4.97,2.11,,-0.1,-6.51,0.24,0.095
165.87,402.36755,5.16,2.35,0.176618,-0.24,-6.82,0.22,0.098
166.03,402.7695,4.98,2.25,,-0.05,-6.75,0.23,0.128
166.19,403.17765,5.27,1.94,0.162794,0.08,-6.56,0.19,0.082
166.35,403.5865,5.12,1.88,,0.2,-6.14,0.2,0.081
166.51,403.9978,4.57,1.55,0.178777,0.2,-6.32,0.22,0.086
166.67,404.496,4.41,1.59,,0.78,-5.64,0.21,0.101
166.83,405.0244,2.91,1.31,0.220113,1.16,-4.68,0.22,0.092
167,405.5974,0.78,1.34,,,,0.28,0.102
167.15,406.1073,0.81,1.28,0.295805,,,0.29,0.112
167.31,406.6441,0.55,1.34,,,,0.34,0.126
167.47,407.1875,0.44,1.26,0.302035,,,0.38,0.132
167.63,407.72485,0.51,1.53,,,,0.37,0.106
167.79,408.25975,3.32,2.2,0.206305,0.73,-4.83,0.27,0.111
167.95,408.6852,3.43,2.34,,0.12,-4.24,0.26,0.116
168.11,409.05175,2.21,1.65,0.235755,-0.12,-6.07,0.26,0.113
168.27,409.41975,2.81,1.45,,0.12,-5.18,0.26,0.094
168.43,409.7908,3.57,1.6,0.19908,0.54,-4.71,0.24,0.093
168.59,410.16675,4.84,1.47,,0.51,-4.8,0.19,0.082
168.75,410.5428,5.35,0.97,0.166633,0.67,-4.29,0.18,0.087
168.91,410.9239,6.13,1.32,,0.63,-4.33,0.17,0.085
169.07,411.3001,6.49,1.07,0.158898,0.67,-4.03,0.18,0.094
169.23,411.7322,6.78,0.86,,-0.01,-4.64,0.12,0.078
169.39,412.21305,8.1,1.12,0.114802,0.48,-4.11,0.14,0.078
169.55,412.69975,7.87,1.03,,0.4,-4.17,0.15,0.069
169.71,413.18695,6.97,1.09,0.085515,0.21,-4.18,0.11,0.061
169.87,413.6736,8.83,0.84,,0.15,-4.56,0.12,0.078
170.03,414.16015,8.38,0.69,0.121154,-0.37,-5.17,0.12,0.058
170.19,414.6485,8.33,1,,0.59,-4.39,0.13,0.057
170.35,415.13255,8.2,0.7,0.0996198,0.13,-4.69,0.1,0.054
170.51,415.5743,9.05,0.54,,-0.23,-4.71,0.09,0.043
170.67,415.96885,9.71,0.8,0.105267,-0.38,-5.02,0.09,0.064
170.83,416.36185,8.96,1.4,,-0.02,-4.65,0.09,0.052
170.99,416.7494,6.79,1.12,0.0704688,-0.39,-5.49,0.2,0.053
171.15,417.13645,8.76,1.46,,-0.25,-5.34,0.12,0.041
171.31,417.52195,9.14,1.73,0.109397,-0.15,-5.14,0.12,0.058
171.47,417.91265,8.76,1.55,,-0.25,-5.14,0.12,0.069
171.63,418.2996,8.04,1.8,0.116605,-0.04,-5.37,0.15,0.077
171.79,418.71425,7.81,1.8,,-0.12,-5.31,0.14,0.073
171.95,419.20655,7.84,1.6,0.101988,-0.27,-5.19,0.16,0.147
172.11,419.70805,7.89,1.74,,-0.12,-4.88,0.13,0.108
172.27,420.21275,7.86,1.82,0.116224,-0.14,-4.77,0.14,0.101
172.43,420.7132,7.51,1.9,,0.19,-4.42,0.16,0.128
172.59,421.20705,7.15,2,0.130512,0.26,-4.35,0.18,0.092
172.75,421.7098,6.92,1.97,,0.47,-4.28,0.17,0.096
172.91,422.20735,6.21,1.93,0.139319,0.03,-4.96,0.17,0.086
173.07,422.6839,5.97,2.24,,-0.02,-4.99,0.19,0.103
173.23,423.1112,5.91,2.31,0.149417,0.13,-5.09,0.21,0.106
173.39,423.5314,4.01,1.96,,0.27,-4.67,0.29,0.101
173.55,423.95295,5.26,2.24,0.224775,0.43,-5.4,0.24,0.108
173.71,424.37395,4.89,2.15,,0.59,-4.94,0.24,0.135
173.87,424.79225,4.73,2.04,0.197206,0.83,-5.1,0.24,0.145
174.03,425.2159,3.54,2.03,,0.67,-5.79,0.27,0.142
174.19,425.644,3.29,1.63,0.253172,0.89,-5.94,0.25,0.133
174.35,426.0682,1.83,1.6,,0.92,-5.33,0.29,0.161
174.51,426.56155,0.15,1.6,0.280537,,,0.32,0.206
174.66,427.00885,0.31,1.26,,,,0.28,0.147
174.83,427.53195,0.21,1.69,0.295176,,,0.29,0.184
174.99,428.0157,0.34,1.21,,,,0.26,0.163
175.15,428.5015,0.08,1.09,0.321146,,,0.27,0.134
175.31,428.9941,0.15,0.87,,,,0.26,0.225
175.47,429.49525,0.49,0.74,0.337242,,,0.24,0.115
175.63,429.98145,0.28,0.67,,,,0.25,0.142
175.79,430.43495,0.05,0.54,0.352569,,,0.24,0.077
175.95,430.87545,1.81,0.64,,,,0.21,0.091
176.11,431.3223,0.15,0.51,0.34579,,,0.25,0.122
176.27,431.77375,0.24,0.57,,,,0.23,0.091
176.43,432.2262,0.18,0.5,0.353768,,,0.23,0.09
176.59,432.683,0,0.62,,,,0.26,0.127
176.75,433.1373,0.04,0.45,0.359556,,,0.25,0.083
176.91,433.5913,0.13,0.43,,,,0.25,0.142
177.07,434.3699,0.96,0.46,0.321476,,,0.25,0.103
177.23,435.25475,0.27,0.49,,,,0.26,0.106
177.39,436.12805,0.16,0.48,0.376604,,,0.25,0.123
177.55,437.0129,0.24,0.46,,,,0.26,0.113
177.71,437.89185,0.13,0.43,0.36777,,,0.27,0.103
177.87,438.7745,0.1,0.47,,,,0.27,0.09
178.03,439.65095,0.08,0.45,0.339034,,,0.24,0.069
178.19,440.5319,0.4,0.52,,,,0.25,0.099
178.35,441.30195,2.59,0.74,0.287944,,,0.2,0.084
178.51,442.0099,0.05,0.52,,,,0.26,0.096
178.67,442.7299,0.13,0.59,0.333177,,,0.27,0.096
178.83,443.4414,0.13,0.57,,,,0.26,0.093
178.99,444.149,1.48,0.57,0.288054,,,0.2,0.109
179.15,444.8733,0.13,0.76,,,,0.26,0.172
179.31,445.59535,0.06,0.91,0.305738,,,0.28,0.168
179.47,446.32245,0.05,0.89,,,,0.28,0.125
179.63,446.9891,0.07,0.8,0.318425,,,0.28,0.173
179.79,447.59205,0.06,1.01,,,,0.27,0.101
179.95,448.2016,0.09,0.95,0.287566,,,0.29,0.084
180.11,448.81705,0.09,0.56,,,,0.31,0.112
180.27,449.43795,1.36,0.61,0.350878,,,0.26,0.097
180.43,450.0556,1.05,0.78,,,,0.28,0.184
180.59,450.6738,0.12,0.71,0.317008,,,0.29,0.159
180.75,451.2881,0.12,1.01,,,,0.3,0.1
180.91,451.9229,1.07,1.06,0.273471,,,0.28,0.114
181.07,452.5985,0.92,0.63,,,,0.26,0.149
181.21,453.1935,0.33,0.6,0.259531,,,0.36,0.118
181.39,453.95845,0.18,0.73,,,,0.26,0.144
181.55,454.6388,0.63,0.63,0.317786,,,0.23,0.133
181.71,455.3182,0.1,0.61,,,,0.31,0.143
181.87,455.9965,0.1,0.77,0.326756,,,0.26,0.106
182.03,456.6758,0.12,0.81,,,,0.26,0.1
182.19,457.28935,0.07,1.01,0.297037,,,0.25,0.093
182.35,457.72525,0.88,0.75,,,,0.24,0.123
182.51,458.16445,0.13,1.13,0.30487,,,0.27,0.125
182.67,458.6094,0.09,1.36,,,,0.26,0.089
182.83,459.05375,0.04,0.92,0.369074,,,0.26,0.153
182.99,459.48755,0.48,0.7,,,,0.26,0.069
183.15,459.9206,1.28,0.66,0.30241,,,0.22,0.117
183.31,460.3573,0.62,0.81,,,,0.26,0.113
183.47,460.78305,0.29,0.68,0.374635,,,0.26,0.11
183.63,461.2,0.71,0.71,,,,0.23,0.084
183.79,461.6229,0.13,0.88,0.28478,,,0.29,0.094
183.95,462.0431,0.14,0.86,,,,0.27,0.111
184.11,462.4634,0.18,0.87,0.284563,,,0.27,0.084
184.27,462.8835,0.29,1.04,,,,0.26,0.074
184.43,463.3066,0.23,0.89,0.31752,,,0.27,0.106
184.59,463.7216,0.66,0.91,,,,0.26,0.093
184.75,464.14855,0.27,1.05,0.258596,,,0.34,0.101
184.91,464.6413,0.23,1.1,,,,0.29,0.087
185.07,465.14675,0.47,1.19,0.24636,,,0.29,0.074
185.23,465.64905,0.71,1.16,,,,0.28,0.084
185.39,466.1512,0.11,1.07,0.325356,,,0.28,0.103
185.55,466.65585,0.53,1.32,,,,0.29,0.09
185.71,467.1645,0.36,1.17,0.296973,,,0.29,0.085
185.87,467.6749,0.51,1.01,,,,0.29,0.084
186.03,468.175,2,0.81,0.267991,,,0.24,0.121
186.19,468.5868,0.64,0.97,,,,0.27,0.121
186.35,468.98015,0.97,0.89,0.288725,,,0.26,0.127
186.51,469.38115,0.32,0.9,,,,0.28,0.097
186.67,469.78485,0.3,0.83,0.312927,,,0.29,0.129
186.83,470.18015,0.34,0.99,,,,0.27,0.084
186.99,470.57495,1.02,0.88,0.320714,,,0.26,0.107
187.15,470.9688,0.54,0.97,,,,0.28,0.119
187.31,471.366,0.13,1.14,0.325175,,,0.3,0.125
187.47,471.7191,0.83,1.25,,,,0.3,0.138
187.63,472.05275,0.26,1.01,0.296263,,,0.3,0.139
187.79,472.3962,0.74,0.77,,,,0.27,0.108
187.95,472.73835,0.47,1.03,0.31183,,,0.3,0.124
188.11,473.07915,0.84,1.1,,,,0.29,0.102
188.27,473.4213,0.92,1.49,0.289875,,,0.32,0.109
188.43,473.7622,2.22,1.47,,0.39,-4.93,0.3,0.103
188.59,474.1085,0.93,0.87,0.35568,,,0.29,0.106
188.75,474.47235,2.72,1.22,,1.05,-3.83,0.29,0.071
188.91,474.8409,3.76,2.15,0.204051,0.87,-4.93,0.3,0.083
189.07,475.21015,4.89,1.82,,0.84,-4.52,0.25,0.072
189.23,475.58765,3.81,1.73,0.235032,1.34,-4.44,0.26,0.095
189.39,475.949,0.65,1.22,,,,0.32,0.094
189.55,476.3302,0.28,1.23,0.276442,,,0.34,0.119
189.71,476.6982,0.84,1.26,,,,0.36,0.123
189.87,477.062,1.78,1.18,0.252754,,,0.31,0.086
190.03,477.44355,0.55,1.32,,,,0.36,0.091
190.19,477.83445,0.51,1.12,0.298171,,,0.33,0.092
190.35,478.22205,1.05,0.94,,,,0.32,0.099
190.51,478.6172,2.73,1.12,0.229866,2.74,-4,0.31,0.081
190.67,479.0058,2.53,1.27,,1.28,-4.38,0.32,0.092
190.83,479.39735,4.15,1.85,0.186453,0.82,-4.94,0.28,0.08
190.99,479.7858,4.36,2,,1.02,-5.15,0.32,0.091
191.15,480.1774,4.05,1.75,0.153702,0.24,-5.41,0.36,0.072
191.31,480.5247,5.15,2.1,,-0.03,-6.09,0.24,0.072
191.47,480.8448,4.07,1.8,0.204623,-0.04,-6.28,0.28,0.1
191.63,481.1385,5.12,1.91,,0.77,-5.14,0.24,0.087
191.79,481.4401,1.7,0.92,0.277089,1.01,-2.65,0.28,0.128
191.95,481.74835,2.56,0.95,,1.05,-4.79,0.25,0.12
192.11,482.0485,2.69,0.91,0.254401,1.41,-5.18,0.26,0.12
192.27,482.35415,2.38,0.89,,1.4,-5.25,0.28,0.105
192.43,482.6582,2.85,0.92,0.25921,1.88,-5.36,0.27,0.09
192.59,482.9697,3.18,1.08,,0.63,-5.45,0.25,0.097
192.75,483.36555,5.25,1.32,0.174873,1.07,-5.47,0.2,0.086
192.91,483.74375,3.13,1.18,,-0.2,-6.06,0.25,0.099
193.07,484.1295,6.34,1.1,0.14863,0.43,-5.81,0.17,0.095
193.23,484.51065,5.02,1.08,,0.14,-6.2,0.19,0.114
193.39,484.89575,6.24,0.88,0.178239,0.26,-6.02,0.18,0.095
193.55,485.28425,7.67,1.01,,0.69,-5.36,0.16,0.076
193.71,485.66515,7.26,0.9,0.122459,0.65,-5.3,0.15,0.074
193.87,486.04705,7.57,0.91,,0.72,-5.39,0.16,0.077
194.03,486.4407,8.33,0.91,0.113238,0.81,-5.3,0.15,0.068
194.19,486.82665,6.95,1.06,,0.42,-6.11,0.18,0.092
194.35,487.2209,7.6,1.13,0.120124,1.28,-4.55,0.15,0.079
194.51,487.6098,8.12,0.89,,0.85,-5.23,0.15,0.069
194.67,487.99245,7.45,1.29,0.115335,0.95,-5.33,0.17,0.083
194.83,488.37875,7.41,1.59,,0.43,-5.82,0.16,0.083
194.99,488.75735,7.76,1.28,0.119635,0.8,-4.89,0.18,0.089
195.15,489.14075,7.03,1.36,,0.84,-5.08,0.21,0.101
195.31,489.573,5.85,1.4,0.140404,0.56,-5.66,0.28,0.08
195.47,490.00255,2.89,0.99,,0.1,-5.43,0.49,0.152
195.63,490.4421,7.38,1.29,0.113151,0.38,-5.38,0.15,0.079
195.79,490.88065,7.81,1.09,,0.58,-4.79,0.14,0.077
195.95,491.3261,8.09,1.01,0.118931,0.56,-4.92,0.15,0.065
196.11,491.77025,5.84,1.15,,1.09,-4.59,0.21,0.112
196.27,492.19595,7.91,1.09,0.116036,-0.07,-5.45,0.17,0.12
196.43,492.62375,7.35,1.37,,-0.16,-5.55,0.19,0.117
196.59,493.23035,5.06,1.57,0.107346,0.23,-5.05,0.43,0.092
196.75,493.86375,6.98,1.65,,0.08,-5.11,0.22,0.095
196.91,494.49415,7.03,1.73,0.114318,0.28,-4.77,0.18,0.096
197.07,495.12975,6.89,1.6,,-0.02,-5.49,0.19,0.101
197.23,495.7652,6.21,1.77,0.132395,0.27,-5.06,0.22,0.117
197.39,496.39585,6.21,1.93,,0.11,-5.09,0.23,0.11
197.55,497.0151,6.18,2,0.14644,-0.37,-5.81,0.25,0.141
197.71,497.639,4.62,1.8,,-0.43,-6.04,0.25,0.11
197.87,498.285,5.12,1.64,0.169812,0.06,-5.54,0.24,0.117
198.03,498.9346,6.16,1.82,,-0.14,-5.87,0.21,0.126
198.19,499.5791,6.96,1.76,0.122564,0.05,-5.17,0.19,0.088
198.35,500.23075,7.7,1.68,,0.44,-4.77,0.17,0.092
198.51,500.877,8.25,1.76,0.100546,0.23,-4.99,0.17,0.08
198.67,501.5299,8.04,1.69,,0.18,-5.44,0.17,0.115
198.83,502.18295,7.65,1.4,0.104647,0.29,-5.46,0.17,0.074
198.99,502.8309,7.73,1.61,,0.33,-5.22,0.18,0.078
199.15,503.6783,6.88,1.27,0.070109,0.51,-5.44,0.29,0.082
199.31,504.63,8.02,1.13,,0.91,-5.29,0.19,0.076
199.47,505.58365,6.37,1.86,0.104312,1.63,-4.56,0.22,0.09
199.63,506.547,4.74,2.05,,1.13,-5.32,0.37,0.141
199.79,507.50365,3.69,1.48,0.100511,0.88,-5.24,0.4,0.145
199.95,508.4658,7.65,1.52,,1,-5.43,0.17,0.092
200.11,509.4285,6.73,1.63,0.118803,0.7,-6.13,0.19,0.092
200.27,510.3913,5.98,1.47,,0.61,-6.18,0.21,0.108
200.43,511.17615,2.44,0.83,0.278492,0.91,-5.9,0.27,0.115
200.59,511.8025,4.64,1.15,,1.25,-5.31,0.24,0.094
200.75,512.42375,5.01,1.08,0.0840113,0.38,-6.32,0.14,0.06
200.91,513.0525,5.9,1.38,,0.04,-6.68,0.25,0.085
201.07,513.68165,3.88,1.44,0.198643,0.17,-6.1,0.29,0.11
201.23,514.31115,2.84,1.45,,-0.29,-7.33,0.25,0.095
201.39,514.93715,4.13,1.5,0.203679,-0.17,-6.86,0.27,0.095
201.55,515.5703,3.65,1.6,,-0.01,-6.95,0.32,0.091
201.71,516.14935,0.18,1.55,0.10964,,,0.71,0.083
201.87,516.66345,4.79,2,,0.18,-5.87,0.26,0.076
202.03,517.1798,3.97,1.9,0.187787,0.2,-6.04,0.26,0.081
202.19,517.6994,7.27,1.9,,0.23,-5.79,0.19,0.078
202.35,518.22545,0.81,1.93,0.277171,,,0.34,0.131
202.51,518.7368,0.73,1.89,,,,0.35,0.115
202.67,519.2524,0.6,1.97,0.266947,,,0.35,0.098
202.83,519.75345,1.95,1.8,,-0.19,-6.14,0.33,0.105
202.99,520.28325,5.33,1.6,0.143394,0.65,-5.24,0.22,0.071
203.15,520.8651,1.75,1.76,,-0.14,-5.51,0.33,0.124
203.31,521.44665,3.05,1.58,0.239484,-0.28,-6.07,0.29,0.095
203.47,522.02395,4.78,1.6,,0.02,-5.66,0.27,0.076
203.63,522.60045,4.87,1.61,0.183185,-0.08,-6.04,0.28,0.088
203.79,523.19415,5.17,1.8,,0.13,-5.28,0.25,0.091
203.95,523.78255,5.76,2,0.148149,0.49,-4.93,0.22,0.094
204.11,524.3659,6.09,1.98,,0.4,-4.95,0.22,0.095
204.27,524.94795,7.93,1.44,0.111797,0.64,-4.65,0.16,0.074
204.43,525.5389,8,1.22,,0.29,-5.06,0.15,0.066
204.59,526.12985,7.96,1.27,0.120741,-0.1,-5.57,0.15,0.07
204.82,526.9872,8.33,1.3,,0.15,-5.37,0.14,0.068
