geochem_depth,geochem_age_kabp,TIC,TOC,Qz_peakarea,C13,O18,TN,TS
35.95,88.842,0.2,1.37,0.30554,,,0.28,0.142
36.11,89.25885,1.3,1.21,0.253275,1.78,-3.99,0.25,0.146
36.27,89.6662,3.62,1.77,0.233002,0.9,-4.98,0.25,0.082
36.43,90.084,3.18,2.25,0.201856,0.45,-4.94,0.28,0.08
36.59,90.5196,1.91,2.63,0.247717,0.08,-6,0.32,0.115
36.75,91.04005,1.6,2.55,0.232978,-0.11,-5.83,0.33,0.091
36.91,91.56205,0.75,2.55,0.27513,-0.21,-5.62,0.36,0.108
37.07,92.0829,1.12,2.59,0.239538,-0.07,-4.39,0.36,0.092
37.23,92.6063,0.9,2.53,0.277791,0.02,-3.67,0.37,0.107
37.39,93.1293,0.64,2.55,0.256377,0.2,-3.73,0.36,0.1
37.55,93.65285,0.66,2.48,0.282472,-0.22,-6.04,0.36,0.105
37.71,94.1788,0.65,3.05,0.267978,0.06,-4.89,0.35,0.105
37.87,94.6863,0.95,2.82,0.271688,0.75,-4.94,0.35,0.122
38.03,95.1053,2.99,2.67,0.202598,1.15,-4.31,0.32,0.115
38.19,95.5252,2.12,2.68,0.23474,0.41,-4.34,0.33,0.106
38.35,95.9476,2.48,2.54,0.21871,1.46,-4.47,0.31,0.095
38.51,96.3614,1.17,2.83,0.263171,-0.09,-5.54,0.38,0.122
38.67,96.78375,1.87,2.67,0.237552,-0.12,-4.9,0.33,0.1
38.83,97.21385,2.31,2.66,0.242783,0.01,-5.48,0.33,0.117
38.99,97.6264,3.03,2.61,0.215193,0.38,-5.31,0.36,0.096
39.15,98.0382,2.55,2.63,0.233893,-0.29,-4.12,0.39,0.107
39.31,98.4785,2.68,2.73,0.1979,-0.21,-5.2,0.4,0.105
39.47,98.91525,2.97,2.47,0.207819,0.04,-5.18,0.37,0.1
39.62,99.3242,4.12,2.45,0.167245,0.09,-5.05,0.33,0.106
39.79,99.79165,4.25,2.58,0.151555,0.25,-4.45,0.36,0.119
39.95,100.23025,3.99,2.66,0.153057,0.12,-5.2,0.37,0.089
40.11,100.67275,4.32,2.53,0.156824,0.11,-5.31,0.35,0.099
40.27,101.1139,3.52,2.2,0.145215,0.26,-5.5,0.39,0.085
40.43,101.5547,1.83,1.78,0.104017,-0.35,-4.74,0.45,0.122
40.59,101.9166,4.4,2.33,0.173835,0.08,-6.07,0.33,0.12
40.75,102.2676,4.32,2.39,0.19605,0.22,-6.26,0.32,0.125
40.91,102.6243,4.45,2.24,0.161191,0.63,-5.43,0.29,0.099
41.07,102.9788,4.09,1.59,0.196773,1.22,-5.1,0.26,0.095
41.23,103.3274,3.25,1.62,0.196647,1.13,-5.31,0.29,0.088
41.39,103.6874,2.68,1.51,0.256599,1.4,-4.6,0.27,0.071
41.55,104.03795,1.09,1.44,0.286603,0.73,-4.1,0.31,0.109
41.71,104.3903,1.4,1.34,0.302444,0.51,-5.28,0.31,0.113
41.87,104.745,4.08,2.03,0.17061,1.25,-5.62,0.24,0.073
42.03,105.10195,3.82,2.07,0.206833,0.79,-5.9,0.21,0.096
42.19,105.4634,3.81,2.26,0.156243,0.42,-5.92,0.23,0.103
42.35,105.8263,3.83,1.92,0.196862,0.89,-5.61,0.26,0.118
42.51,106.19065,3.36,2.11,0.179036,0.56,-5.26,0.29,0.104
42.67,106.5515,2.68,2.13,0.212763,0.65,-5.51,0.3,0.103
42.83,106.9183,2.48,1.73,0.220023,0.42,-4.58,0.27,0.121
42.99,107.28075,1.66,1.08,0.340249,0.91,-3.98,0.26,0.097
43.15,107.74685,1.41,1.1,0.285465,1.18,-2.69,0.27,0.102
43.31,108.26875,3.21,1.13,0.235121,2.06,-3.76,0.25,0.078
43.47,108.7978,1.86,0.89,0.152748,1.36,-3.38,0.22,0.078
43.63,109.3262,1.99,1.34,0.325093,1.23,-4.41,0.24,0.078
43.79,109.8521,4.03,1.34,0.226022,1.85,-3.82,0.22,0.088
43.95,110.374,3.74,1.26,0.256451,1.19,-4.18,0.23,0.076
44.11,110.89445,3.63,1.57,0.2581,0.86,-4.55,0.25,0.083
44.27,111.41755,2.78,2.02,0.263069,0.71,-4.31,0.28,0.085
44.43,111.9847,3.83,2.08,0.1943,0.5,-4.42,0.26,0.083
44.59,112.60695,3.55,2.01,0.237212,0.68,-4.36,0.26,0.085
44.75,113.2272,2.58,1.96,0.23082,0.53,-4.63,0.29,0.091
44.91,113.84205,2.48,2.15,0.249233,0.1,-4.25,0.3,0.083
45.07,114.45335,2.15,2.51,0.22679,0.21,-4.93,0.35,0.102
45.23,115.0729,2.16,2.94,0.208107,0.3,-4.75,0.36,0.124
45.39,115.68635,2,3,0.202055,0.26,-4.67,0.35,0.124
45.55,116.2999,2.35,2.65,0.209866,0.29,-4.81,0.35,0.121
45.71,116.93145,2.65,2.85,0.185813,0.37,-4.88,0.35,0.106
45.87,117.5965,1.48,2.33,0.277724,0.46,-4.29,0.35,0.115
46.03,118.2741,1.46,2.12,0.23171,0.21,-3.11,0.35,0.104
46.19,118.95695,2.7,2.57,0.213484,0.61,-4.33,0.34,0.125
46.35,119.6356,3.06,2.48,0.166611,0.32,-4.65,0.35,0.095
46.51,120.3088,3.41,2.67,0.18485,0.39,-4.49,0.33,0.108
46.67,120.97835,3.5,2.47,0.199348,0.21,-4.35,0.32,0.115
46.83,121.6387,4.06,2.74,0.16631,0.12,-3.94,0.31,0.109
46.99,122.29075,4.51,2.57,0.138906,-0.15,-4,0.28,0.084
47.15,122.93015,5.89,2.32,0.120769,-0.43,-4.12,0.23,0.112
47.31,123.58165,5.81,2.06,0.128956,-0.68,-4.97,0.21,0.067
47.47,124.2302,6.98,2.31,0.122699,-0.97,-5.41,0.18,0.081
47.62,124.8438,6.55,1.99,0.126126,-0.74,-5.46,0.18,0.065
47.79,125.5389,7.88,1.55,0.0883194,-0.4,-5.12,0.15,0.062
47.95,126.19555,7.89,1.63,0.0833301,-0.28,-4.94,0.13,0.1
48.11,126.85895,8.31,1.82,0.0752032,0.09,-5.14,0.15,0.11
48.27,127.49935,3.32,3.18,0.134073,0.56,-5.14,0.33,0.201
48.43,128.06325,0.03,3.05,0.204549,,,0.39,0.184
48.58,128.5892,2.5,1.48,0.241549,2.03,-3.38,0.24,0.198
48.75,129.18805,2.67,1.4,0.263347,2.26,-3.78,0.23,0.117
48.91,129.7491,2.22,1.21,0.25895,2.01,-3.66,0.22,0.138
49.07,130.31445,1.85,1.24,0.268175,1.6,-3.55,0.22,0.151
49.23,130.87765,1.4,1.25,0.275342,1.51,-2.79,0.22,0.127
49.39,131.44265,1.29,1.11,0.297807,1.61,-2.26,0.23,0.133
49.55,132.00725,0.84,1.12,0.274041,,,0.24,0.17
49.71,132.48695,0.49,1.15,0.293593,,,0.24,0.185
49.87,132.97415,0.19,1.32,0.304213,,,0.24,0.07
50.03,133.4648,0.16,1.26,0.304799,,,0.34,0.092
50.19,133.9441,0.24,1.2,0.298612,,,0.32,0.091
50.35,134.42155,0.14,1.25,0.337479,,,0.34,0.091
50.5,134.8703,0.22,1.04,0.27991,,,0.3,0.095
50.67,135.37915,0.69,0.97,0.309343,,,0.31,0.076
50.83,135.84825,0.22,1.11,0.297319,,,0.33,0.067
50.99,136.29045,0.5,0.91,0.302889,,,0.31,0.072
51.15,136.7294,0.67,0.96,0.308748,,,0.32,0.11
51.32,137.20285,0.18,1.06,0.315679,,,0.31,0.08
51.47,137.6156,0.5,0.83,0.34324,,,0.23,0.089
51.63,138.05365,0.23,0.98,0.369244,,,0.22,0.106
51.79,138.48785,0.34,1.04,,,,0.24,0.079
51.95,138.91755,0.54,1,0.301984,,,0.24,0.086
52.11,139.34885,0.12,1.05,,,,0.24,0.073
52.27,139.8283,0.09,0.96,0.358065,,,0.24,0.101
52.43,140.18325,0.54,0.74,,,,0.21,0.09
52.59,140.6,0.3,0.95,0.305558,,,0.24,0.072
52.75,141.0299,0.1,0.98,,,,0.23,0.068
52.91,141.4523,0.21,0.91,0.332383,,,0.22,0.119
53.05,141.81955,0.56,0.71,,,,0.21,0.072
53.23,142.2965,0.09,0.92,0.372618,,,0.22,0.1
53.39,142.70895,0.05,0.92,,,,0.21,0.066
53.57,143.17425,0.06,0.95,0.365477,,,0.22,0.109
53.71,143.53125,0.08,0.86,,,,0.23,0.094
53.87,143.947,0.07,0.84,0.369782,,,0.2,0.107
54.03,144.3748,0.56,0.65,,,,0.18,0.073
54.17,144.7371,0.68,0.69,0.362622,,,0.21,0.104
54.35,145.2081,0.27,0.71,,,,0.19,0.108
54.51,145.62215,0.12,0.77,0.429421,,,0.22,0.12
54.67,146.0422,0.1,0.76,,,,0.2,0.094
54.83,146.4431,0.05,0.86,0.342876,,,0.2,0.082
54.99,146.84635,0.11,0.83,,,,0.17,0.07
55.15,147.2443,0.15,0.83,0.339247,,,0.2,0.109
55.3,147.6271,0.07,0.82,,,,0.2,0.091
55.47,148.05,0.06,0.84,0.340022,,,0.25,0.073
55.63,148.4562,0.15,0.76,,,,0.19,0.086
55.79,148.85995,0.13,0.83,0.345686,,,0.2,0.069
55.93,149.21675,0.07,0.79,,,,0.19,0.083
56.11,149.6383,0.06,0.81,0.332577,,,0.21,0.091
56.27,149.96005,0.08,0.81,,,,0.2,0.064
56.43,150.29055,0.05,0.87,0.343602,,,0.19,0.051
56.59,150.62295,0.06,0.89,,,,0.2,0.041
56.75,150.95055,0.09,0.78,0.331213,,,0.2,0.066
56.91,151.27805,0.33,0.74,,,,0.19,0.062
57.07,151.6126,0.52,0.61,0.306654,,,0.2,0.076
57.23,151.93595,0.15,0.82,,,,0.2,0.096
57.39,152.27495,0.07,0.82,0.309839,,,0.2,0.078
