MS_depth,age_kabp_MS,MS
182.15,457.1406,161
182.63,458.4727,135
183.11,459.78315,216
183.59,461.06775,280
184.07,462.3325,148
184.55,463.5929,173
185.03,464.99305,142
185.51,466.5003,110
185.99,468.0209,181
186.47,469.253,249
186.95,470.45335,245
187.43,471.6092,123
187.91,472.6319,174
188.39,473.65305,115
188.87,474.7276,54.3
189.35,475.8362,109
189.83,476.94305,146
190.31,478.10325,134
190.79,479.27355,75.5
191.27,480.4382,85.6
191.75,481.35295,85.7
192.23,482.2609,124
192.71,483.246,110
193.2,484.43005,66.1
193.67,485.54675,72.8
194.15,486.7063,61
194.63,487.86915,58.9
195.11,489.0226,46.7
195.59,490.30495,70
196.07,491.63225,74.6
196.55,493.0331,63
197.03,494.93435,64.6
197.51,496.8193,73.5
197.99,498.72555,54.2
198.47,500.6768,67
198.95,502.6259,40.6
199.43,505.28895,30.9
199.91,508.1632,78.9
200.39,510.9768,138.4
200.87,512.85625,58.9
201.35,514.74345,89.7
201.83,516.5006,113.5
202.31,518.063,85.7
202.79,519.5977,73.2
203.27,521.26625,106.9
203.74,522.9732,81.8
204.23,524.77035,73
204.7,526.5062,64.1
205.19,528.32985,63.9
205.67,529.93805,86.3
206.15,531.009,84.6
206.63,532.09905,105.5
207.11,533.05665,103.4
207.59,533.9229,126.3
208.07,534.7868,160.1
208.55,535.67635,161.4
209.03,536.59015,119
209.51,537.6023,138.5
209.99,539.444,134.7
210.47,541.26265,114.9
210.95,542.94945,104.3
211.43,544.4447,97.2
211.91,545.9543,106.4
212.39,547.5292,133
212.87,549.15745,93.9
213.35,550.76005,148.6
213.83,552.311,120.4
214.31,553.8812,107.2
214.79,555.3998,109.7
215.27,556.8172,118.8
215.75,558.2326,177
216.23,559.5884,57.3
216.71,560.92935,126.2
217.19,562.2466,113.1
217.67,563.30955,45.7
218.15,564.3373,71.7
218.63,565.3201,122.9
219.11,566.31575,151.4
219.59,567.29205,170.4
220.07,568.289,112.9
220.55,569.33095,97.3
221.03,570.3701,106
221.51,571.45575,111.9
221.99,572.56565,87.2
222.47,573.67035,80
222.95,574.77505,76.8
223.43,575.8742,52.7
223.91,576.961,51
224.39,578.0453,43.9
224.87,579.1446,39.1
225.35,580.1666,75.3
225.83,581.13945,109
226.31,582.12125,110
226.79,583.1338,196.7
227.27,584.16555,173.5
227.75,585.2465,150.1
228.23,586.5554,193.1
228.71,587.8594,143
229.19,589.08535,66.9
229.67,590.2455,76.6
230.15,591.39715,80.4
230.63,592.6561,99
231.11,593.96025,63.6
231.59,595.26295,65.5
232.07,596.7844,76.3
232.55,598.3134,101.7
233.03,599.75325,43.6
233.51,601.0132,30.4
233.99,602.2985,73.9
234.47,603.5254,92.8
234.95,604.73065,79.6
235.43,605.944,73
235.91,607.291,56.4
236.39,608.61905,45.6
236.86,609.85695,45.2
237.35,610.9956,56.5
237.83,612.1168,42.1
238.31,613.23325,53.9
238.79,614.35385,48.6
239.27,615.46655,49.6
239.75,616.61655,51.8
240.23,617.77055,46.9
240.71,618.91725,38.7
241.19,620.007,57.1
241.67,621.0887,74.5
242.15,622.20595,111.7
242.64,623.41145,118.3
243.11,624.58255,175.8
243.59,625.72685,238.1
244.07,626.85325,224.4
244.55,628.00835,271.9
245.03,629.3229,181.3
245.51,630.62005,198.2
245.99,631.988,177
246.47,633.5581,285.7
246.95,635.1091,368.8
247.43,636.4631,180.6
247.91,637.68785,169.9
